22500000,4495400,4496600,4495200,4496500,400,4495800,4496900,4495500,4496800,400
22560000,4496500,4496500,4495600,4496000,400,4496800,4496800,4496100,4496300,400
22620000,4496000,4496000,4494800,4495500,400,4496300,4496300,4495100,4495900,1400
22680000,4495500,4496400,4495500,4496300,400,4495900,4496700,4495800,4496600,500
22740000,4496300,4496400,4495900,4496100,400,4496600,4496900,4496300,4496500,900
22800000,4496100,4496200,4495500,4495700,500,4496500,4496500,4495900,4496300,1800
22860000,4495700,4496200,4495100,4495100,1600,4496300,4496300,4495600,4495600,400
22920000,4495100,4495200,4493200,4493700,400,4495600,4495600,4493700,4494000,1400
22980000,4493700,4493800,4492500,4493800,400,4494000,4494200,4492900,4494200,1400
23040000,4493800,4493800,4493000,4493000,1400,4494200,4494300,4493500,4493500,1700
23100000,4493000,4494300,4492800,4493800,400,4493500,4494800,4493200,4494200,400
23160000,4493800,4494500,4493800,4494400,400,4494200,4494900,4494200,4494700,400
23220000,4494400,4494400,4493400,4493600,400,4494700,4494700,4493800,4494000,400
23280000,4493600,4493900,4493500,4493800,400,4494000,4494200,4493800,4494200,1800
23340000,4493800,4494600,4493600,4494300,400,4494200,4495200,4493900,4494600,300
23400000,4494300,4494300,4493000,4493500,400,4494600,4494600,4493500,4493900,400
23460000,4493500,4494500,4493300,4494500,400,4493900,4494800,4493700,4494800,300
23520000,4494500,4496600,4494500,4495600,400,4494800,4496900,4494800,4496000,400
23580000,4495600,4495900,4494800,4494900,400,4496000,4496400,4495300,4495300,400
23640000,4494900,4495400,4494300,4494400,400,4495300,4495800,4494800,4494900,400
23700000,4494400,4494900,4493800,4494900,100,4494900,4495400,4494300,4495100,400
23760000,4494900,4494900,4493100,4493500,300,4495100,4495100,4493600,4493800,400
23820000,4493500,4494200,4493200,4493900,400,4493800,4494600,4493600,4494400,500
23880000,4493900,4494600,4493900,4494500,400,4494400,4495000,4494300,4494900,400
23940000,4494500,4494600,4493600,4493800,500,4494900,4494900,4494000,4494100,400
24000000,4493800,4494400,4493400,4494200,400,4494100,4494900,4493800,4494500,400
24060000,4494200,4495100,4494100,4494200,400,4494500,4495400,4494500,4494800,400
24120000,4494200,4494600,4494100,4494300,1700,4494800,4494900,4494500,4494700,400
24180000,4494300,4494800,4493800,4494400,400,4494700,4495100,4494300,4494700,400
24240000,4494400,4494900,4494200,4494900,400,4494700,4495400,4494500,4495200,400
24300000,4494900,4495100,4493800,4494000,500,4495200,4495300,4494300,4494500,400
24360000,4494000,4494600,4493900,4494400,400,4494500,4495100,4494300,4494800,400
24420000,4494400,4495400,4494400,4494800,300,4494800,4495900,4494800,4495000,400
24480000,4494800,4494900,4494100,4494600,400,4495000,4495400,4494600,4494800,300
24540000,4494600,4495100,4494600,4494700,300,4494800,4495600,4494800,4495100,400
24600000,4494700,4495100,4494600,4494900,400,4495100,4495600,4494800,4495300,400
24660000,4494900,4495300,4494600,4494800,400,4495300,4495900,4495000,4495100,500
24720000,4494800,4494800,4494000,4494000,100,4495100,4495100,4494100,4494300,400
24780000,4494000,4494000,4492300,4492300,1900,4494300,4494300,4492800,4492800,400
24840000,4492300,4492700,4491800,4491900,400,4492800,4493000,4492300,4492300,400
24900000,4491900,4493100,4491900,4493100,300,4492300,4493400,4492300,4493400,1400
24960000,4493100,4493100,4491800,4492100,500,4493400,4493600,4492300,4492600,1800
25020000,4492100,4492200,4491600,4492000,400,4492600,4492600,4492100,4492500,400
